종목코드,종목명,시장구분
278990,EMB,KONEX
343090,HLB사이언스,KONEX
112190,KC산업,KONEX
260870,SK시그넷,KONEX
296520,가이아코퍼레이션,KONEX
086220,광동헬스바이오,KONEX
456700,길교이앤씨,KONEX
244880,나눔테크,KONEX
288490,나라소프트,KONEX
257990,나우코스,KONEX
317860,노드메이슨,KONEX
229500,노브메타파마,KONEX
178600,대동고려삼,KONEX
114920,대주이엔티,KONEX
302920,더콘텐츠온,KONEX
199150,데이터스트림즈,KONEX
227420,도부,KONEX
403360,라피치,KONEX
092590,럭스피아,KONEX
238500,로보쓰리에이아이,KONEX
223220,로지스몬,KONEX
162120,루켄테크놀러지스,KONEX
253610,루트락,KONEX
448780,마이크로엔엑스,KONEX
179720,머니무브,KONEX
200580,메디쎄이,KONEX
233250,메디안디노스틱,KONEX
236340,메디젠휴먼케어,KONEX
322970,무진메디,KONEX
208890,미래엔에듀파트너,KONEX
351020,미쥬,KONEX
354390,바스칸바이오제약,KONEX
266470,바이오인프라생명과학,KONEX
289170,바이오텐,KONEX
199290,바이오프로테크,KONEX
206950,볼빅,KONEX
191600,블루탑,KONEX
266170,뿌리깊은나무들,KONEX
012210,삼미금속,KONEX
267080,세븐브로이맥주,KONEX
185190,수프로,KONEX
217320,썬테크,KONEX
236030,씨알푸드,KONEX
103660,씨앗,KONEX
245450,씨앤에스링크,KONEX
456570,아이엠지티,KONEX
447690,아이오바이오,KONEX
149010,아이케이세미콘,KONEX
243870,아이티센코어,KONEX
149300,아퓨어스,KONEX
102950,아하,KONEX
251280,안지오랩,KONEX
390110,애니메디솔루션,KONEX
224810,엄지하우스,KONEX
270210,에스알바이오텍,KONEX
217910,에스제이켐,KONEX
495900,에이엠시지,KONEX
234070,에이원알폼,KONEX
207490,에이펙스인텍,KONEX
446440,에피바이오텍,KONEX
140610,엔솔바이오사이언스,KONEX
238170,엔에스엠,KONEX
224760,엔에스컴퍼니,KONEX
093510,엔지브이아이,KONEX
276240,엘리비젼,KONEX
311060,엘에이티,KONEX
212310,오건에코텍,KONEX
332190,오션스바이오,KONEX
122830,원포유,KONEX
140660,위월드,KONEX
121060,유니포인트,KONEX
495810,유비씨,KONEX
337840,유엑스엔,KONEX
279060,이노벡스,KONEX
208850,이비테크,KONEX
379390,이성씨엔아이,KONEX
341310,이앤에치,KONEX
232530,이엠티,KONEX
216400,인바이츠바이오코아,KONEX
311960,인터로이드,KONEX
066830,제노텍,KONEX
254160,제이엠멀티,KONEX
289860,지슨,KONEX
299480,지앤이헬스케어,KONEX
076340,지에이이노더스,KONEX
250030,진코스텍,KONEX
233990,질경이,KONEX
368030,창대정밀,KONEX
402420,켈스,KONEX
176590,코나솔,KONEX
189350,코셋,KONEX
169670,코스텍시스템,KONEX
456190,큐라켐,KONEX
086460,큐러블,KONEX
136660,큐엠씨,KONEX
215570,크로넥스,KONEX
336040,타스컴,KONEX
346010,타이드,KONEX
318660,타임기술,KONEX
476710,타조엔터테인먼트,KONEX
434190,탈로스,KONEX
180060,탑선,KONEX
052960,태양3C,KONEX
116100,태양기계,KONEX
308700,테크엔,KONEX
258050,테크트랜스,KONEX
413300,티엘엔지니어링,KONEX
217880,틸론,KONEX
217950,파마리서치바이오,KONEX
266870,파워풀엑스,KONEX
202960,판도라티비,KONEX
266350,팡스카이,KONEX
327610,펨토바이오메드,KONEX
341170,퓨쳐메디신,KONEX
296160,프로젠,KONEX
222670,플럼라인생명과학,KONEX
331660,한국미라클피플사,KONEX
